bin.chrom	bin.start	bin.end	window
chr1	0	795847	795847
chr1	2530820	2584410	53590
chr1	3780324	3836805	56481
chr1	12804213	12870263	66050
chr1	13189334	13824109	634775
chr1	16819158	16949551	130393
chr1	17056656	17257431	200775
chr1	24255578	24412703	157125
chr1	25586166	25705603	119437
chr1	29819478	29871261	51783
chr1	83674488	83831115	156627
chr1	103676535	103727765	51230
chr1	103913956	104052633	138677
chr1	104107188	104319704	212516
chr1	108697840	108784359	86519
chr1	120508460	120673932	165472
chr1	121326397	142592474	21266077
chr1	142915078	143467706	552628
chr1	144071761	144867858	796097
chr1	145073281	145153031	79750
chr1	145645633	145704914	59281
chr1	145823582	146542025	718443
chr1	147288040	147353664	65624
chr1	147636955	147802093	165138
chr1	148565674	149049044	483370
chr1	149279607	149729169	449562
chr1	161478718	161643369	164651
chr1	196703605	196801592	97987
chr1	205875174	206109068	233894
chr1	206234101	206292347	58246
chr1	223649624	223702919	53295
chr1	224046040	224209313	163273
chr1	235185204	235295829	110625
chr1	243058683	243206988	148305
chr1	248623562	248768276	144714
chr1	248845129	248901798	56669
chr2	4965134	5018088	52954
chr2	87001478	87054924	53446
chr2	87377383	87776523	399140
chr2	88218730	88344302	125572
chr2	89197076	89253843	56767
chr2	89377233	89602351	225118
chr2	89886223	90104511	218288
chr2	90241997	91759662	1517665
chr2	91845056	92089360	244304
chr2	92275204	95422934	3147730
chr2	95994853	96048357	53504
chr2	96181695	96241795	60100
chr2	96383016	96502879	119863
chr2	97637976	97732487	94511
chr2	97950780	98261705	310925
chr2	106951483	107108975	157492
chr2	108346159	108398773	52614
chr2	109224430	109302571	78141
chr2	110049387	110101500	52113
chr2	110412033	110471463	59430
chr2	110878180	110933106	54926
chr2	111191068	111441629	250561
chr2	111919873	111970893	51020
chr2	112117055	112357506	240451
chr2	112422954	112484706	61752
chr2	113114967	113250829	135862
chr2	114097851	114191202	93351
chr2	130708707	130868367	159660
chr2	131115484	131354523	239039
chr2	131868500	131928388	59888
chr2	132106637	132189783	83146
chr2	132457224	132563443	106219
chr2	132698401	132846449	148048
chr2	149635689	149687498	51809
chr3	0	122818	122818
chr3	66165618	66318224	152606
chr3	75424719	75530172	105453
chr3	75803231	75901346	98115
chr3	90393973	90469225	75252
chr3	125426068	125553269	127201
chr3	129756026	129873096	117070
chr3	195334395	195457070	122675
chr3	195639913	195748250	108337
chr3	197735228	197796251	61023
chr4	3978596	4124033	145437
chr4	8906817	8984808	77991
chr4	9119825	9386984	267159
chr4	9498462	9607727	109265
chr4	49047322	49155688	108366
chr4	49569920	52706226	3136306
chr4	70060587	70154610	94023
chr4	75352447	75406799	54352
chr4	119394522	119514935	120413
chr4	120186108	120243569	57461
chr4	132650563	132794070	143507
chr4	144676282	144751293	75011
chr4	144870562	144979848	109286
chr5	619582	677897	58315
chr5	17455036	17587440	132404
chr5	20688773	20834534	145761
chr5	21306366	21419634	113268
chr5	34039509	34156708	117199
chr5	46301510	46369649	68139
chr5	68809159	70310328	1501169
chr5	98773041	98882364	109323
chr5	138749150	138855793	106643
chr5	175326394	175566996	240602
chr5	175622327	175754588	132261
chr5	177067177	177355950	288773
chr5	180599194	180656941	57747
chr6	0	253010	253010
chr6	26670982	26910756	239774
chr6	31934541	32053377	118836
chr6	57754611	57870264	115653
chr6	57978254	58058068	79814
chr6	58277825	58393483	115658
chr6	58501072	58602748	101676
chr6	58700618	61885360	3184742
chr6	62098052	62226677	128625
chr6	95665053	95869521	204468
chr6	157508468	157609683	101215
chr6	167858666	167910361	51695
chr6	170815213	170869151	53938
chr7	5820899	5896344	75445
chr7	6659855	6718456	58601
chr7	6837069	6966458	129389
chr7	32735214	32840940	105726
chr7	35076651	35215987	139336
chr7	45703412	45758371	54959
chr7	56333763	56420614	86851
chr7	56785782	56960945	175163
chr7	57588379	57701379	113000
chr7	57806164	57925589	119425
chr7	58000219	61090177	3089958
chr7	61550466	61785075	234609
chr7	61877484	61991788	114304
chr7	62709729	63033118	323389
chr7	64410945	64468293	57348
chr7	64921483	65083072	161589
chr7	66474251	66577980	103729
chr7	66684499	66807954	123455
chr7	72082865	72191551	108686
chr7	72279603	72399631	120028
chr7	74140303	74998865	858562
chr7	76074057	76284780	210723
chr7	76437350	76596536	159186
chr7	97431272	97493811	62539
chr7	100536960	100656056	119096
chr7	102099163	102412182	313019
chr7	102730188	102789468	59280
chr7	128050853	128115305	64452
chr7	130093295	130146119	52824
chr7	143170063	143273742	103679
chr7	143811966	143865643	53677
chr7	149544391	149615104	70713
chr7	149768173	149915511	147338
chr7	153399972	153527969	127997
chr7	153587281	153641078	53797
chr7	153763280	153882049	118769
chr7	154254942	154408413	153471
chr8	0	215442	215442
chr8	6903623	6990838	87215
chr8	7630380	8101872	471492
chr8	11854910	12237410	382500
chr8	43681615	43735668	54053
chr8	86500399	86557197	56798
chr8	142704261	142834305	130044
chr8	145174421	145261269	86848
chr9	0	224547	224547
chr9	33506461	33616021	109560
chr9	38455271	38522838	67567
chr9	38737330	38965706	228376
chr9	39182272	40672117	1489845
chr9	41980039	43458316	1478277
chr9	43772148	44199487	427339
chr9	44779995	45080209	300214
chr9	46757576	66288086	19530510
chr9	66792274	67684571	892297
chr9	68319111	68457692	138581
chr9	69197274	69831045	633771
chr9	92279202	92332618	53416
chr9	92486059	92687394	201335
chr9	97019376	97111898	92522
chr9	99573680	99630630	56950
chr9	133051736	133254700	202964
chr10	0	168683	168683
chr10	17712660	17769917	57257
chr10	38494139	38593473	99334
chr10	38746450	38869769	123319
chr10	39151706	42427242	3275536
chr10	42495237	42638411	143174
chr10	46156573	46934701	778128
chr10	47115623	47538599	422976
chr10	47614550	47675187	60637
chr10	48620875	48875898	255023
chr10	51000415	51063102	62687
chr10	51518226	51575221	56995
chr10	51817619	52041630	224011
chr10	52417021	52553860	136839
chr10	81302395	81367396	65001
chr10	81486086	81671300	185214
chr10	88829649	88930407	100758
chr10	89184260	89308041	123781
chr10	128549113	128611027	61914
chr10	135323372	135377159	53787
chr11	0	237375	237375
chr11	3210409	3262464	52055
chr11	3399991	3529090	129099
chr11	4230159	4400899	170740
chr11	48445841	48544003	98162
chr11	48781862	48858583	76721
chr11	48959202	49052948	93746
chr11	49147621	49238520	90899
chr11	49328242	49417993	89751
chr11	49502329	49586595	84266
chr11	49674284	49769197	94913
chr11	50720119	51180004	459885
chr11	51388599	51475034	86435
chr11	51570301	54831036	3260735
chr11	67539283	67687820	148537
chr11	69612264	69665920	53656
chr11	71365772	71519154	153382
chr11	88609015	88694259	85244
chr11	89356215	89451132	94917
chr11	96208959	96266206	57247
chr11	134827698	134891487	63789
chr12	0	214223	214223
chr12	8261653	8332439	70786
chr12	8476458	8604971	128513
chr12	9503960	9583880	79920
chr12	34784811	34853102	68291
chr12	63849496	63907011	57515
chr12	64019144	64143343	124199
chr12	132688964	132850939	161975
chr12	133481756	133716973	235217
chr13	0	19278212	19278212
chr13	19933703	20032003	98300
chr13	52702130	52762957	60827
chr13	53038091	53187918	149827
chr13	86697930	86752195	54265
chr13	112263017	112314108	51091
chr13	114294905	114448746	153841
chr13	114611375	114764226	152851
chr14	0	19121755	19121755
chr14	19471237	20110123	638886
chr14	106004073	106109005	104932
chr15	0	20124648	20124648
chr15	20389946	20515598	125652
chr15	20607851	20877884	270033
chr15	21912659	22309241	396582
chr15	22535732	22760350	224618
chr15	23061246	23177484	116238
chr15	24319889	24406532	86643
chr15	24493520	24594269	100749
chr15	28412266	28496571	84305
chr15	28698537	29057664	359127
chr15	30294445	30352335	57890
chr15	30929577	31039016	109439
chr15	31901916	32025294	123378
chr15	32406791	32616215	209424
chr15	34761777	34873738	111961
chr15	43804009	43916915	112906
chr15	82482473	82558243	75770
chr15	84708726	84784404	75678
chr15	85657765	85713468	55703
chr15	102279257	102363776	84519
chr16	0	135706	135706
chr16	2511132	2565200	54068
chr16	14769988	15098490	328502
chr16	15181666	15495797	314131
chr16	16253207	16538844	285637
chr16	18075492	18130027	54535
chr16	18255731	18750473	494742
chr16	20489845	20605037	115192
chr16	21379441	21600655	221214
chr16	21659094	21718848	59754
chr16	22409480	22639535	230055
chr16	28357937	28539207	181270
chr16	28601359	28845754	244395
chr16	29027649	29163013	135364
chr16	29265696	29418311	152615
chr16	30161154	30363248	202094
chr16	31895630	31959457	63827
chr16	32340630	32499141	158511
chr16	32561312	32619580	58268
chr16	32888577	33407027	518450
chr16	33526812	33610834	84022
chr16	34002234	34220262	218028
chr16	35208767	46393216	11184449
chr16	69937283	70044841	107558
chr16	70185679	70311539	125860
chr16	70843139	71141287	298148
chr16	74339719	74472527	132808
chr17	239033	399311	160278
chr17	15453600	15585402	131802
chr17	16592784	16785280	192496
chr17	18184563	18244946	60383
chr17	18416568	18621677	205109
chr17	18886002	19146986	260984
chr17	20128099	20182107	54008
chr17	20306220	20527911	221691
chr17	21518062	21726570	208508
chr17	22216167	25313613	3097446
chr17	28861004	28932166	71162
chr17	30306664	30414052	107388
chr17	34478365	34852876	374511
chr17	36130865	36187757	56892
chr17	36303405	36480039	176634
chr17	43469242	43541535	72293
chr17	44259450	44350738	91288
chr17	45535886	45675186	139300
chr17	57962105	58033485	71380
chr17	60253318	60349372	96054
chr17	60430103	60498174	68071
chr17	62713486	62782189	68703
chr17	77400941	77452319	51378
chr18	0	151541	151541
chr18	12121737	12237360	115623
chr18	14100759	14193585	92826
chr18	14320492	14483902	163410
chr18	14664476	14764834	100358
chr18	15062711	15226767	164056
chr18	51959077	52010620	51543
chr18	77906374	77959045	52671
chr19	0	309274	309274
chr19	7256132	7406833	150701
chr19	8587754	8653603	65849
chr19	8764418	8822348	57930
chr19	20444021	20515576	71555
chr19	24492632	24549197	56565
chr19	36727529	36839171	111642
chr19	43211334	43343576	132242
chr19	43447214	43554514	107300
chr19	43659689	43775253	115564
chr19	48295035	48360536	65501
chr19	50563802	50683398	119596
chr19	55127177	55189812	62635
chr20	0	120517	120517
chr20	25753877	25922430	168553
chr20	26262348	29449066	3186718
chr20	29561007	29811435	250428
chr20	61074534	61174903	100369
chr20	62819330	62872192	52862
